filename,scene_label
audio/airport-lisbon-1000-40000-a.wav,indoor
audio/bus-lyon-1001-40001-a.wav,transportation
audio/shopping_mall-lisbon-1002-40002-a.wav,indoor
audio/street_pedestrian-lyon-1003-40003-a.wav,outdoor
audio/street_pedestrian-lisbon-1004-40004-a.wav,outdoor
audio/street_traffic-prague-1006-40006-a.wav,outdoor
audio/metro_station-lisbon-1007-40007-a.wav,indoor
audio/street_traffic-lisbon-1008-40008-a.wav,outdoor
audio/shopping_mall-prague-1009-40009-a.wav,indoor
audio/metro_station-lyon-1010-40010-a.wav,indoor
audio/metro_station-lisbon-1007-40011-a.wav,indoor
audio/street_pedestrian-lyon-1003-40012-a.wav,outdoor
audio/park-lyon-1012-40014-a.wav,outdoor
audio/bus-lisbon-1013-40015-a.wav,transportation
audio/shopping_mall-prague-1009-40016-a.wav,indoor
audio/airport-prague-1015-40019-a.wav,indoor
audio/metro-prague-1016-40020-a.wav,transportation
audio/public_square-lyon-1017-40021-a.wav,outdoor
audio/metro_station-prague-1019-40023-a.wav,indoor
audio/metro_station-lisbon-1020-40024-a.wav,indoor
audio/metro_station-lisbon-1021-40025-a.wav,indoor
audio/metro-prague-1022-40026-a.wav,transportation
audio/airport-prague-1023-40027-a.wav,indoor
audio/public_square-lyon-1024-40028-a.wav,outdoor
audio/metro-prague-1026-40030-a.wav,transportation
audio/public_square-prague-1027-40031-a.wav,outdoor
audio/metro_station-lyon-1028-40032-a.wav,indoor
audio/street_traffic-lyon-1029-40033-a.wav,outdoor
audio/bus-prague-1030-40034-a.wav,transportation
audio/shopping_mall-prague-1031-40035-a.wav,indoor
audio/bus-prague-1032-40036-a.wav,transportation
audio/street_traffic-lisbon-1008-40037-a.wav,outdoor
audio/airport-prague-1023-40038-a.wav,indoor
audio/street_pedestrian-lisbon-1004-40039-a.wav,outdoor
audio/street_traffic-prague-1033-40040-a.wav,outdoor
audio/airport-prague-1034-40041-a.wav,indoor
audio/tram-lisbon-1035-40042-a.wav,transportation
audio/park-lyon-1012-40043-a.wav,outdoor
audio/bus-lyon-1001-40044-a.wav,transportation
audio/street_pedestrian-prague-1037-40046-a.wav,outdoor
audio/airport-prague-1015-40047-a.wav,indoor
audio/street_traffic-prague-1033-40048-a.wav,outdoor
